epoch,loss_mean,loss_std,loss_min,loss_max,loss_median,lr,grad_norm,epoch_time_sec,samples_per_sec,batches_per_sec,num_batches,num_samples,gpu_mem_allocated_mb,gpu_mem_reserved_mb,gpu_mem_peak_mb,ema_delta_norm,wall_clock_sec,cumulative_time_sec,cumulative_samples
10,0.08294326812028885,0.0017737319505421957,0.07982207089662552,0.08684534579515457,0.08294936269521713,0.0001,0.13314269576433782,9.045485973358154,2943.346557433861,1.4371809362470025,13,26624,403.323392,35934.69952,31334.023168,5.711190161070229,102.17949199676514,102.17949199676514,292864
11,0.08062517814911328,0.0025470149196594924,0.07547155767679214,0.08365266025066376,0.08088681846857071,0.0001,0.1850692767609415,9.047168970108032,2942.799022320248,1.4369135851173085,13,26624,400.072704,35934.69952,31334.023168,5.838586275871635,111.30100846290588,111.30100846290588,319488
12,0.0781660544184538,0.0020991441967910924,0.07462470978498459,0.08316927403211594,0.07771669328212738,0.0001,0.2710333514637552,9.058090925216675,2939.250689776349,1.435181000867358,13,26624,403.323392,35934.69952,31334.023168,5.951028525751889,120.43502736091614,120.43502736091614,346112
13,0.07579216418357995,0.002635663170026296,0.07221803069114685,0.08034918457269669,0.07522518932819366,0.0001,0.1339093746408764,9.050857305526733,2941.5997956063857,1.4363280251984305,13,26624,400.072704,35934.69952,31334.023168,6.044724020194752,129.56200981140137,129.56200981140137,372736
14,0.07226790315829791,0.0016428799366831656,0.06975478678941727,0.07573837786912918,0.07252771407365799,0.0001,0.11536781153774014,9.036084175109863,2946.4090289615187,1.4386762836726166,13,26624,403.323392,35934.69952,31334.023168,6.126393856896359,138.66450309753418,138.66450309753418,399360
15,0.07063357245463592,0.001568479229046938,0.06777328997850418,0.07369516789913177,0.07051404565572739,0.0001,0.12548244833243716,9.069843053817749,2935.4421947569663,1.433321384158675,13,26624,400.072704,35934.69952,31334.023168,6.201962786515992,147.81282806396484,147.81282806396484,425984
16,0.06941813689011794,0.0012815217053063635,0.06670637428760529,0.07151038944721222,0.06942027807235718,0.0001,0.20125808603361317,9.042916536331177,2944.182874301048,1.4375892940923085,13,26624,403.323392,35934.69952,31334.023168,6.2705707717022285,156.92205548286438,156.92205548286438,452608
17,0.06782976652567203,0.001728087466764053,0.06474016606807709,0.07027218490839005,0.0682135596871376,0.0001,0.20981926043044033,9.058929920196533,2938.9784703646756,1.4350480812327517,13,26624,400.072704,35934.69952,31334.023168,6.334584014446025,166.0561227798462,166.0561227798462,479232
18,0.0661665997826136,0.00147104214722799,0.06283092498779297,0.0693216472864151,0.06587456911802292,0.0001,0.119654510161688,9.04756236076355,2942.67106855875,1.4368511076947021,13,26624,403.323392,35934.69952,31334.023168,6.387830161064529,175.17346811294556,175.17346811294556,505856
19,0.06501948976745972,0.001491991672376532,0.06245073303580284,0.06690991669893265,0.06557899713516235,0.0001,0.20350892210758073,9.038872480392456,2945.500122692739,1.4382324817835639,13,26624,400.072704,35934.69952,31334.023168,6.434996299912136,184.2801694869995,184.2801694869995,532480
20,0.06409876134533149,0.0016573275712016575,0.05940470099449158,0.06605016440153122,0.06443475186824799,0.0001,0.14847855698303875,9.051148653030396,2941.5051084246725,1.4362817912229846,13,26624,403.323392,35934.69952,31334.023168,6.475956231853408,193.39797925949097,193.39797925949097,559104
21,0.0646042087330268,0.0013360499381348243,0.06238486245274544,0.06664132326841354,0.06440205127000809,0.0001,0.26434192729197653,9.055758953094482,2940.0075838924795,1.4355505780724997,13,26624,400.072704,35934.69952,31334.023168,6.513342587913309,202.51995062828064,202.51995062828064,585728
